SEQUENCE_ID,GROUP,ADDRESS_1,STREET,CITY,ZIP,COUNTRY,CLIENT_ID
000001,A,Rachel Cline,879-9505 Posuere Avenue,Etterbeek,64348-65760,United States,DB83DBBB-2CB5-3366-702D-71A86894686B
000002,A,Octavia Cervantes,5512 Nisl Rd.,Darwin,8380,France,8B1EFDB0-4423-889A-EC83-EB47979286DD
000003,A,Quon Meyer,2674 Molestie Street,Leticia,638586,United States,C3CCF50A-5CC3-CB67-3673-3A51B7A81A85
000004,B,Evangeline Mayo,722-3796 Sit Street,Nazilli,2878,United States,1CB9F9FE-2225-8558-87D0-6B75EF554C6D
000005,D,Margaret Oneal,862-3081 Donec Street,Edremit,758185,France,EBD14318-D666-6375-76C7-D8AB807611E4
000006,C,Camille Kent,270-7783 Elit St.,Tumba,554755,France,3E77803D-3882-D87A-91F2-76671FF96EC6
000007,C,Aquila Jacobson,Ap #608-5907 Nunc St.,Traiskirchen,42435-153,United States,6C8BB8FA-4CD4-AC78-7E37-97A3AE535B91
000008,B,Lunea Horne,Ap #826-5587 Sociis St.,Leoben,78086,France,61775DC9-769B-388B-C718-13CF1A1956D4
000009,D,Chaney Pierce,Ap #161-7851 Nisi. Rd.,Inner Mongolia,188773,France,6E88192D-D5C2-7EC1-CA4A-88449E56CD70
000010,A,Mechelle Craig,840-7925 Quis Rd.,Kaster,I2G 3SQ,France,72631A1C-2401-E2D2-2F2D-863399A7B95D
000011,A,Shoshana Watson,Ap #605-2623 Suspendisse Road,Dublin,234813,United States,619CEB5C-23EF-5F12-7DE8-37C7B1F38747
000012,C,Lesley Cain,2150 Condimentum. Street,Waitakere,42127,United States,59472D35-BAE9-205F-6464-A2F111443F19
000013,D,Eaton Cline,429 Libero. Rd.,San Isidro,715841,France,876B040D-5ED5-3F74-C2B1-BC56D0EA56C7
000014,B,Brynn Rush,Ap #892-2845 Donec Av.,Porto Alegre,227494,United States,E4B9456A-D94D-5857-EE2F-6C232DFEECA3
000015,B,Sybill Moran,6989 Et St.,Ockelbo,74302,United States,B25E6673-2D4A-22E1-4571-46770FECA681
000016,C,Amelia Lucas,Ap #526-2555 Posuere St.,Yorkton,617153,United States,4FEC0FA8-0E8C-B4DD-0B69-29A13A71EC1C
000017,C,Charissa Rivers,262-2543 Rhoncus. St.,Calama,6663,France,EE85B631-BC6C-DAB4-BFD1-F95C82486D13
000018,A,Tate Cotton,3570 Rutrum Ave,Baden,8018,United States,0BE7E451-9B58-EC96-252E-A2C374C81C1D
000019,D,Basil Stewart,Ap #120-5307 Vel Road,Emmen,303071,France,DE1C3274-16A9-A9E9-55B1-CAA7C3A9BC98
000020,B,Wayne Bryant,430-2251 Sit Rd.,Ciudad Apodaca,4122 PS,United States,31A1A9E1-E177-710D-2CEC-2AAD1507CAAB
000021,C,Aurora Valenzuela,Ap #816-5268 Sit Av.,Arauca,2686,France,9B826CCD-AC96-7D08-DF29-AE872217D4AE
000022,C,Mallory Jefferson,842-2931 Sit St.,Melilla,18425,United States,FF8DEB76-918F-BD0A-4C97-B9A17937B708
000023,D,Jason Henderson,Ap #512-3738 Ut Rd.,Badajoz,24938,United States,11271BC6-10C6-1276-BBBA-55B4E64DDBD0
000024,B,Zachary Stein,851-2063 At Rd.,Elbistan,3781,France,F9BD764F-4B0E-A39D-1756-86DD11935397
000025,A,Whilemina Buckley,Ap #823-4970 Vivamus Road,Neelum Valley,4286,United States,30DBE7C1-5B8B-5B54-3BE6-838F664E489D
000026,A,Quyn Donovan,1012 Non Rd.,Hamburg,28574,United States,EE25C86B-D23D-ECA9-1037-A9D650FE3FAC
000027,D,Dale Justice,673-6448 Non Road,Yogyakarta,45444,France,2C892F8E-8B5E-4EDD-2E4D-1DB4B5D5D983
000028,E,Dante Vaughan,1618 Primis Street,Darwin,4856,France,9D926E59-43B5-22D6-C68E-2164C99AE15D
000029,F,Celeste Sosa,Ap #795-1716 Nullam St.,Muzaffarpur,6248,United States,6C998ABE-8284-A77D-D041-C5C6F268B712
